G235 → best=0.0791, avg=0.0499, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G236 → best=0.0791, avg=0.0497, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G237 → best=0.0791, avg=0.0500, H_norm=0.73, mut_cat=0.25, mut_cont=0.07
G238 → best=0.0791, avg=0.0498, H_norm=0.73, mut_cat=0.25, mut_cont=0.07
G239 → best=0.0791, avg=0.0500, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G240 → best=0.0791, avg=0.0499, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G241 → best=0.0791, avg=0.0499, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G242 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G243 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G244 → best=0.0791, avg=0.0498, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G245 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G246 → best=0.0791, avg=0.0494, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G247 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G248 → best=0.0791, avg=0.0491, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G249 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G250 → best=0.0791, avg=0.0493, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G251 → best=0.0791, avg=0.0497, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G252 → best=0.0791, avg=0.0491, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G253 → best=0.0791, avg=0.0496, H_norm=0.73, mut_cat=0.25, mut_cont=0.07
G254 → best=0.0791, avg=0.0493, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G255 → best=0.0791, avg=0.0494, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G256 → best=0.0791, avg=0.0498, H_norm=0.73, mut_cat=0.25, mut_cont=0.07
G257 → best=0.0791, avg=0.0494, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G258 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G259 → best=0.0791, avg=0.0492, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G260 → best=0.0791, avg=0.0497, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G261 → best=0.0791, avg=0.0494, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G262 → best=0.0791, avg=0.0492, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G263 → best=0.0791, avg=0.0492, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G264 → best=0.0791, avg=0.0489, H_norm=0.75, mut_cat=0.25, mut_cont=0.07
G265 → best=0.0791, avg=0.0489, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G266 → best=0.0791, avg=0.0494, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G267 → best=0.0791, avg=0.0492, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G268 → best=0.0791, avg=0.0490, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G269 → best=0.0791, avg=0.0492, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G270 → best=0.0791, avg=0.0498, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G271 → best=0.0791, avg=0.0498, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G272 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G273 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G274 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G275 → best=0.0791, avg=0.0491, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G276 → best=0.0791, avg=0.0496, H_norm=0.73, mut_cat=0.25, mut_cont=0.07
G277 → best=0.0791, avg=0.0498, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G278 → best=0.0791, avg=0.0498, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G279 → best=0.0791, avg=0.0492, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G280 → best=0.0791, avg=0.0492, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G281 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G282 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G283 → best=0.0791, avg=0.0494, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G284 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G285 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G286 → best=0.0791, avg=0.0499, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G287 → best=0.0791, avg=0.0499, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G288 → best=0.0791, avg=0.0493, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G289 → best=0.0791, avg=0.0492, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G290 → best=0.0791, avg=0.0493, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G291 → best=0.0791, avg=0.0499, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
